,Churn,genero,tem +65,possui_parceiro,possui_dependentes,tempo_cliente_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,gasto_mensal,gasto_total,contas_diarias
721,0,Feminino,0,1,1,68,1,1,DSL,1,1,1,1,0,1,Anual,1,Cheque eletrônico,78.45,5333.35,2.62
722,0,Feminino,1,1,0,63,1,1,Fibra Opica,0,1,1,0,1,1,Mensal,1,Cheque eletrônico,103.5,6479.4,3.45
723,0,Masculino,0,1,1,60,1,0,DSL,1,1,0,1,1,1,Mensal,1,Cartão de crédito,79.05,4663.4,2.64
724,0,Masculino,0,1,1,19,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,20.6,414.95,0.69
725,1,Feminino,0,1,1,12,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Transferência bancária,19.8,229.6,0.66
726,1,Feminino,0,0,0,41,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,0,Transferência bancária,70.25,2868.05,2.34
727,0,Feminino,0,0,1,25,1,0,DSL,0,1,0,1,0,0,Anual,1,Cartão de crédito,54.75,1266.35,1.82
728,0,Feminino,0,0,0,71,1,1,Fibra Opica,1,1,1,1,1,1,Bienal,1,Cartão de crédito,113.15,7993.3,3.77
729,1,Masculino,0,1,0,56,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Cartão de crédito,25.15,1327.15,0.84
730,0,Feminino,0,1,1,8,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cartão de crédito,21.05,139.75,0.7
731,0,Masculino,0,0,0,20,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,0,Cartão de crédito,70.55,1493.55,2.35
732,0,Masculino,0,0,0,43,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,19.55,876.15,0.65
733,0,Feminino,0,1,0,17,0,0,DSL,0,1,1,0,0,0,Mensal,1,Cartão de crédito,35.65,646.05,1.19
734,0,Feminino,0,1,1,44,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.6,780.25,0.65
735,0,Feminino,0,0,0,2,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.5,27.55,0.65
736,0,Feminino,0,1,1,71,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,19.9,1397.3,0.66
737,0,Feminino,0,1,1,72,1,0,Fibra Opica,1,1,1,1,1,1,Bienal,1,Transferência bancária,108.65,7726.35,3.62
738,0,Feminino,0,0,0,18,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.65,391.7,0.65
740,0,Feminino,1,1,0,67,1,1,Fibra Opica,1,1,1,1,0,1,Anual,1,Cartão de crédito,105.4,7035.6,3.51
741,0,Feminino,0,1,1,56,1,1,Fibra Opica,1,0,1,1,1,1,Mensal,1,Cheque fisico,109.6,5953,3.65
742,1,Masculino,0,1,1,1,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque fisico,69.9,69.9,2.33
743,0,Masculino,0,1,1,69,1,0,Fibra Opica,0,1,0,1,1,0,Bienal,1,Cheque fisico,92.15,6480.9,3.07
744,0,Masculino,0,1,1,1,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cartão de crédito,19.85,19.85,0.66
745,1,Masculino,0,0,0,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,20.15,20.15,0.67
746,0,Masculino,0,1,1,25,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque eletrônico,19.9,505.45,0.66
747,1,Feminino,1,0,0,1,1,1,Fibra Opica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,85.05,85.05,2.84
748,0,Masculino,0,1,0,55,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,25.7,1443.65,0.86
749,0,Feminino,0,1,1,53,1,0,Fibra Opica,0,1,1,1,1,1,Mensal,1,Transferência bancária,108.25,5935.1,3.61
750,0,Feminino,0,1,0,59,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque fisico,20.35,1267,0.68
751,1,Masculino,1,1,0,16,1,1,Fibra Opica,0,0,1,0,1,1,Mensal,1,Cheque eletrônico,98.75,1587.55,3.29
752,0,Feminino,0,0,1,7,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,71.05,472.65,2.37
753,0,Feminino,1,1,0,3,0,0,DSL,0,1,0,0,0,0,Mensal,1,Cheque eletrônico,30.75,82.85,1.02
754,0,Masculino,1,1,0,64,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,25.65,1740.8,0.86
755,0,Feminino,0,1,1,51,1,0,DSL,1,1,1,1,1,1,Bienal,0,Cartão de crédito,85.5,4421.95,2.85
756,1,Masculino,0,0,1,1,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,0,Transferência bancária,69.75,69.75,2.33
757,0,Feminino,0,1,1,69,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,1,Cartão de crédito,20.35,1442.65,0.68
758,1,Feminino,0,1,1,1,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque fisico,69.1,69.1,2.3
759,0,Masculino,0,1,0,38,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,20.4,743.5,0.68
760,1,Feminino,0,0,0,3,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Cheque fisico,19.6,59.75,0.65
761,0,Masculino,0,1,1,56,1,1,DSL,1,1,0,1,0,1,Bienal,1,Cartão de crédito,75.85,4261.2,2.53
762,0,Masculino,0,1,0,63,1,1,DSL,1,1,1,1,0,1,Anual,0,Cartão de crédito,80.0,5040.2,2.67
763,0,Masculino,1,0,1,11,1,0,DSL,0,1,0,1,0,0,Mensal,1,Cheque eletrônico,54.55,601.25,1.82
764,0,Feminino,0,1,1,24,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Cheque fisico,19.7,494.05,0.66
765,0,Masculino,0,1,1,72,1,0,Fibra Opica,1,1,0,1,1,1,Bienal,0,Transferência bancária,105.5,7611.55,3.52
766,0,Feminino,0,1,1,69,1,1,Fibra Opica,1,1,1,1,1,0,Anual,1,Cartão de crédito,105.1,7234.8,3.5
767,0,Feminino,0,1,1,56,1,1,Fibra Opica,0,0,1,0,1,1,Anual,1,Cartão de crédito,99.8,5515.45,3.33
768,1,Masculino,0,0,0,17,1,0,Fibra Opica,0,0,1,0,0,0,Mensal,1,Cheque eletrônico,76.65,1313.55,2.56
769,0,Feminino,0,1,1,18,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,25.1,428.45,0.84
770,0,Masculino,0,0,0,11,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,19.55,223.15,0.65
771,0,Feminino,0,1,1,45,0,0,DSL,0,1,1,1,0,1,Anual,0,Transferência bancária,51.0,2264.5,1.7
772,1,Feminino,1,0,0,47,1,1,Fibra Opica,0,1,0,1,1,0,Mensal,1,Cheque eletrônico,95.05,4504.55,3.17
773,0,Feminino,0,1,0,61,1,1,Fibra Opica,0,1,0,0,1,1,Bienal,1,Transferência bancária,101.05,5971.25,3.37
774,0,Feminino,0,1,1,66,1,1,Fibra Opica,0,0,0,0,0,0,Anual,1,Transferência bancária,74.25,4859.25,2.48
775,0,Feminino,0,0,0,42,1,0,DSL,1,0,1,0,0,0,Mensal,0,Cartão de crédito,54.55,2455.05,1.82
776,0,Feminino,0,1,1,55,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,19.4,1083,0.65
777,0,Feminino,0,0,0,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Transferência bancária,19.25,19.25,0.64
778,0,Feminino,0,1,0,68,0,0,DSL,1,0,1,0,1,1,Anual,1,Cheque eletrônico,54.4,3723.65,1.81
779,0,Feminino,0,1,1,1,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,20.35,20.35,0.68
780,0,Masculino,0,1,0,17,0,0,DSL,0,1,0,0,1,1,Mensal,1,Cheque fisico,49.8,836.35,1.66
781,0,Feminino,0,1,0,15,1,1,DSL,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,51.1,711.15,1.7
782,0,Masculino,0,1,1,28,1,1,DSL,0,1,0,0,0,1,Mensal,0,Cheque eletrônico,64.4,1802.15,2.15
783,0,Masculino,1,1,0,28,1,1,Fibra Opica,0,1,0,1,1,1,Mensal,1,Cheque eletrônico,105.8,2998,3.53
784,0,Masculino,0,1,1,40,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,19.6,808.95,0.65
785,0,Feminino,0,0,0,63,1,1,Fibra Opica,1,1,1,0,1,1,Mensal,0,Cartão de crédito,108.25,6780.1,3.61
786,1,Feminino,1,0,0,15,1,1,Fibra Opica,0,1,0,0,0,1,Mensal,0,Cheque eletrônico,89.85,1424.95,2.99
787,1,Feminino,0,1,0,14,1,0,Fibra Opica,1,1,0,1,1,1,Anual,0,Cheque fisico,105.95,1348.9,3.53
788,1,Masculino,0,0,1,54,1,1,DSL,0,1,0,0,0,0,Mensal,1,Cartão de crédito,55.0,3092.65,1.83
789,0,Masculino,0,0,0,39,1,0,Fibra Opica,1,0,1,0,1,1,Bienal,1,Cheque eletrônico,100.45,3801.7,3.35
790,0,Feminino,0,1,1,48,0,0,DSL,1,1,0,1,0,0,Bienal,0,Cheque fisico,39.4,1978.65,1.31
792,1,Feminino,0,0,0,16,1,0,DSL,0,1,0,1,0,0,Mensal,1,Cheque fisico,53.9,834.15,1.8
793,0,Feminino,0,0,1,44,1,1,DSL,0,1,0,0,1,1,Anual,1,Cheque fisico,77.55,3471.1,2.58
794,1,Masculino,0,1,1,1,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque fisico,70.65,70.65,2.36
795,0,Masculino,0,1,0,69,1,0,DSL,1,1,0,0,0,0,Anual,1,Cartão de crédito,53.65,3804.4,1.79
796,0,Feminino,1,0,0,49,1,0,DSL,0,0,0,0,0,0,Mensal,0,Cheque fisico,43.8,2106.05,1.46
797,0,Feminino,0,0,0,24,1,1,Sem servico de internet,0,0,0,0,0,0,Anual,0,Transferência bancária,24.6,605.25,0.82
798,0,Masculino,1,1,0,71,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,23.95,1756.2,0.8
799,0,Masculino,0,1,1,61,1,0,Fibra Opica,0,1,0,1,1,1,Anual,1,Transferência bancária,98.45,6145.2,3.28
800,0,Feminino,0,0,0,18,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque fisico,20.1,407.05,0.67
801,0,Masculino,0,1,0,27,1,0,DSL,0,1,0,1,0,0,Mensal,1,Cheque eletrônico,53.8,1389.85,1.79
802,0,Feminino,0,1,1,64,1,1,Fibra Opica,0,1,1,1,1,1,Anual,1,Cheque eletrônico,111.45,7266.95,3.72
803,0,Feminino,0,0,0,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.85,19.85,0.66
804,0,Feminino,0,1,1,50,1,1,DSL,0,1,1,1,1,1,Anual,1,Cartão de crédito,84.15,4164.4,2.8
805,0,Feminino,0,1,0,30,1,0,DSL,0,1,1,1,0,1,Anual,0,Transferência bancária,70.25,2198.9,2.34
806,0,Masculino,0,0,0,57,0,0,DSL,0,0,1,1,1,1,Bienal,0,Cartão de crédito,53.35,3090.05,1.78
807,0,Feminino,0,0,0,17,1,1,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,24.8,475.25,0.83
808,0,Feminino,0,0,0,51,1,0,Fibra Opica,0,0,0,0,1,1,Anual,0,Cartão de crédito,87.55,4475.9,2.92
809,1,Masculino,0,0,0,2,0,0,DSL,0,0,0,1,0,0,Mensal,0,Transferência bancária,29.85,75.6,1.0
810,1,Feminino,0,0,0,2,1,1,Fibra Opica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,85.7,169.8,2.86
811,0,Feminino,0,1,1,60,1,1,Fibra Opica,1,1,0,0,1,0,Anual,0,Transferência bancária,94.15,5811.8,3.14
812,1,Feminino,0,1,1,67,1,1,Fibra Opica,1,0,1,1,1,1,Bienal,1,Cartão de crédito,108.75,7156.2,3.62
813,0,Masculino,0,0,0,33,0,0,DSL,0,1,0,0,1,0,Anual,1,Cheque eletrônico,39.1,1309,1.3
814,0,Masculino,0,0,0,38,1,0,DSL,1,1,0,1,1,0,Anual,0,Cheque fisico,70.6,2708.2,2.35
815,0,Feminino,0,0,0,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,19.75,19.75,0.66
816,1,Masculino,0,0,0,1,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,74.95,74.95,2.5
817,0,Feminino,0,1,1,16,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,20.4,321.4,0.68
818,0,Masculino,1,1,0,72,1,1,Fibra Opica,0,1,1,1,1,1,Bienal,1,Transferência bancária,109.75,7932.5,3.66
819,0,Masculino,0,1,1,41,1,1,DSL,1,1,1,0,1,0,Mensal,1,Cartão de crédito,74.55,3023.55,2.48
820,0,Feminino,0,1,1,65,1,1,Fibra Opica,1,0,1,1,1,1,Bienal,0,Cheque eletrônico,109.3,7337.55,3.64
821,0,Feminino,0,1,1,72,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,19.55,1463.45,0.65
822,0,Feminino,1,1,0,67,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Transferência bancária,20.05,1263.05,0.67
823,0,Masculino,0,0,0,49,1,1,Fibra Opica,0,1,0,1,1,1,Anual,1,Transferência bancária,106.65,5168.1,3.56
824,0,Masculino,0,1,0,19,1,1,Fibra Opica,1,1,0,1,0,0,Mensal,1,Cartão de crédito,88.8,1672.35,2.96
825,0,Feminino,0,1,0,69,1,1,Fibra Opica,0,1,1,0,0,0,Mensal,1,Transferência bancária,85.4,5869.4,2.85
826,0,Masculino,0,1,0,47,1,1,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,25.4,1139.2,0.85
827,0,Masculino,0,1,1,53,1,1,DSL,1,1,0,0,0,1,Bienal,0,Transferência bancária,69.7,3686.05,2.32
828,0,Feminino,0,1,0,27,1,1,Fibra Opica,0,0,1,0,0,1,Mensal,0,Transferência bancária,90.15,2423.4,3.01
829,0,Feminino,0,0,0,11,1,1,Fibra Opica,0,0,1,0,1,0,Mensal,1,Cheque eletrônico,89.2,990.3,2.97
830,0,Feminino,0,1,1,28,1,1,Fibra Opica,0,0,0,1,0,1,Anual,1,Cheque eletrônico,90.45,2509.25,3.02
831,0,Masculino,0,1,1,53,1,1,DSL,1,1,0,1,0,0,Anual,0,Transferência bancária,64.15,3491.55,2.14
832,0,Feminino,0,0,0,19,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cartão de crédito,20.25,383.65,0.68
833,0,Masculino,0,0,0,3,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,1,Cheque fisico,19.45,69.25,0.65
834,0,Feminino,0,1,0,23,1,0,DSL,0,0,0,1,1,0,Anual,0,Transferência bancária,60.0,1347.15,2.0
835,1,Masculino,0,1,0,10,1,0,Fibra Opica,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,79.95,857.2,2.66
836,0,Masculino,0,1,1,63,1,1,DSL,1,1,1,1,1,1,Bienal,1,Cartão de crédito,89.4,5597.65,2.98
837,1,Feminino,0,0,0,38,1,0,Fibra Opica,1,1,1,0,0,0,Mensal,1,Cartão de crédito,83.9,3233.6,2.8
838,0,Masculino,0,1,0,61,0,0,DSL,1,0,1,1,1,1,Bienal,1,Cheque fisico,62.15,3778.85,2.07
839,0,Feminino,0,1,0,27,1,1,Fibra Opica,0,0,0,0,1,1,Mensal,0,Cartão de crédito,95.0,2462.55,3.17
840,0,Masculino,0,0,0,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Transferência bancária,19.65,19.65,0.65
841,1,Masculino,0,0,0,13,1,0,Fibra Opica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,91.1,1135.7,3.04
843,1,Masculino,0,0,0,7,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,73.6,520,2.45
844,0,Feminino,1,0,0,4,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,74.45,294.45,2.48
845,0,Feminino,1,0,0,8,1,1,Fibra Opica,0,0,0,0,0,1,Mensal,0,Cheque eletrônico,85.2,695.75,2.84
846,0,Feminino,0,1,0,12,1,0,DSL,1,0,0,1,0,0,Mensal,0,Transferência bancária,54.2,690.5,1.81
847,1,Feminino,0,0,0,7,1,0,DSL,0,0,0,1,1,0,Mensal,1,Cheque fisico,59.5,415.95,1.98
848,0,Feminino,0,1,0,56,1,0,Fibra Opica,1,0,1,0,0,0,Bienal,0,Transferência bancária,80.3,4513.65,2.68
849,0,Feminino,0,1,1,52,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,23.05,1255.1,0.77
850,1,Masculino,0,1,1,23,1,1,DSL,0,0,0,0,0,0,Anual,1,Cartão de crédito,48.35,1067.15,1.61
851,0,Masculino,0,1,1,20,1,0,DSL,0,0,1,0,0,0,Mensal,1,Cheque eletrônico,49.6,939.8,1.65
852,0,Masculino,0,1,1,68,0,0,DSL,1,1,1,1,0,1,Bienal,1,Cheque fisico,56.4,3948.45,1.88
853,0,Masculino,0,0,0,3,1,0,Fibra Opica,1,0,0,0,0,1,Mensal,1,Cheque fisico,86.05,244.85,2.87
854,1,Feminino,0,0,0,6,1,0,DSL,0,0,0,1,0,0,Mensal,1,Transferência bancária,49.65,267.35,1.66
855,0,Masculino,0,1,0,50,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,20.55,1067.65,0.68
856,0,Masculino,0,0,0,60,1,1,Fibra Opica,0,1,0,0,1,0,Mensal,1,Transferência bancária,89.9,5450.7,3.0
857,0,Feminino,0,0,0,4,0,0,DSL,1,0,1,1,0,1,Mensal,0,Cheque fisico,48.25,202.25,1.61
858,0,Masculino,0,0,0,45,1,1,Fibra Opica,1,0,1,1,1,1,Mensal,1,Cartão de crédito,108.45,4964.7,3.62
859,0,Masculino,0,1,1,25,1,0,Fibra Opica,0,1,0,0,0,0,Mensal,1,Cheque eletrônico,75.5,1901.05,2.52
860,0,Masculino,1,1,0,43,1,0,Fibra Opica,0,1,1,0,1,1,Anual,1,Transferência bancária,100.55,4304,3.35
861,1,Feminino,0,1,1,12,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.0,233.55,0.63
862,0,Feminino,0,0,0,9,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,76.85,663.55,2.56
863,0,Feminino,0,0,0,62,1,0,DSL,1,0,0,1,0,1,Bienal,1,Cheque fisico,65.1,3846.75,2.17
864,0,Masculino,0,1,1,40,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Transferência bancária,20.4,745.3,0.68
865,0,Masculino,0,0,1,6,1,1,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,26.35,184.05,0.88
866,0,Masculino,0,1,1,20,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,20.05,400,0.67
867,0,Masculino,1,0,0,16,1,0,Fibra Opica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,78.75,1218.25,2.62
868,0,Feminino,0,1,1,8,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque eletrônico,19.8,160.05,0.66
869,1,Feminino,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Mensal,1,Cheque fisico,49.6,114.7,1.65
870,0,Feminino,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Bienal,1,Transferência bancária,91.15,6637.9,3.04
871,1,Masculino,0,1,1,50,1,1,Fibra Opica,1,0,1,0,1,1,Mensal,0,Cartão de crédito,105.95,5341.8,3.53
872,0,Masculino,0,0,0,21,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,0,Cheque fisico,75.3,1570.7,2.51
873,0,Feminino,0,1,0,64,1,1,Fibra Opica,1,1,1,1,1,1,Anual,1,Cheque eletrônico,115.0,7396.15,3.83
874,0,Masculino,0,0,0,3,1,1,DSL,0,0,0,1,1,0,Mensal,1,Cheque fisico,65.25,209.9,2.17
875,0,Masculino,0,0,0,58,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Transferência bancária,19.15,1035.5,0.64
878,1,Masculino,1,0,0,14,1,0,Fibra Opica,0,0,0,0,1,1,Mensal,0,Cartão de crédito,90.45,1266.1,3.02
879,0,Feminino,0,0,0,18,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Cheque fisico,19.55,389.25,0.65
880,0,Feminino,0,0,0,67,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Cheque fisico,26.1,1759.55,0.87
881,1,Masculino,0,0,0,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Cheque fisico,20.1,20.1,0.67
882,0,Masculino,0,1,0,61,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,25.45,1538.6,0.85
883,0,Masculino,0,0,0,52,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,19.65,1025.05,0.65
884,0,Feminino,0,1,0,14,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,20.4,292.4,0.68
885,0,Feminino,0,1,1,43,1,0,DSL,0,1,0,0,0,0,Mensal,0,Cheque fisico,50.2,2169.4,1.67
886,0,Masculino,0,1,1,52,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,24.8,1229.1,0.83
887,1,Masculino,0,0,0,2,1,1,DSL,0,1,0,0,0,0,Mensal,1,Cheque fisico,54.4,114.1,1.81
888,0,Feminino,1,0,0,4,1,1,Fibra Opica,1,0,0,0,0,0,Mensal,1,Cheque eletrônico,80.25,303.7,2.68
889,1,Feminino,1,0,0,31,1,1,Fibra Opica,0,1,0,0,1,1,Mensal,1,Cheque eletrônico,99.95,3186.65,3.33
890,0,Masculino,0,1,1,5,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.45,86.05,0.65
891,0,Feminino,1,0,0,27,1,1,Fibra Opica,1,1,1,0,1,1,Anual,1,Transferência bancária,110.5,2857.6,3.68
892,1,Masculino,0,0,0,4,1,0,DSL,0,0,0,0,0,1,Mensal,0,Cheque eletrônico,54.3,195.3,1.81
893,0,Masculino,1,0,0,23,0,0,DSL,0,0,0,0,0,1,Mensal,1,Transferência bancária,34.65,768.45,1.16
894,1,Feminino,0,1,0,9,1,0,Fibra Opica,0,0,1,0,0,0,Mensal,1,Transferência bancária,75.75,655.9,2.52
895,1,Masculino,0,0,0,55,1,1,Fibra Opica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,96.8,5283.95,3.23
896,0,Feminino,0,1,0,49,0,0,DSL,0,1,0,1,1,1,Anual,1,Cartão de crédito,56.3,2780.6,1.88
897,0,Feminino,0,1,0,71,1,1,DSL,0,0,1,1,1,1,Bienal,1,Transferência bancária,80.45,5662.25,2.68
898,0,Masculino,0,1,0,59,1,0,DSL,1,1,1,0,1,0,Anual,0,Cartão de crédito,66.4,3958.2,2.21
899,1,Feminino,1,1,0,68,1,1,Fibra Opica,1,1,0,0,0,1,Anual,1,Cartão de crédito,96.55,6581.9,3.22
900,0,Feminino,0,1,0,64,1,1,DSL,1,1,1,1,0,1,Bienal,1,Cheque fisico,81.3,5129.3,2.71
901,0,Feminino,0,1,1,72,1,1,DSL,1,0,1,1,0,0,Bienal,0,Transferência bancária,66.85,4758.8,2.23
902,1,Feminino,1,1,0,16,1,1,Fibra Opica,0,0,0,0,0,1,Mensal,1,Cartão de crédito,85.35,1375.15,2.84
904,0,Masculino,0,1,1,44,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Transferência bancária,20.0,860.85,0.67
905,0,Feminino,0,1,1,30,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,19.7,599.25,0.66
906,1,Masculino,1,0,0,12,0,0,DSL,0,0,1,1,0,1,Mensal,1,Cheque eletrônico,43.65,526.95,1.45
907,0,Masculino,0,0,0,39,1,1,DSL,0,0,0,1,0,0,Bienal,1,Cartão de crédito,53.85,2200.7,1.8
908,0,Masculino,0,1,1,15,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque fisico,19.65,332.65,0.65
909,1,Feminino,1,0,0,4,1,1,Fibra Opica,0,0,1,0,0,1,Mensal,1,Cheque eletrônico,88.85,372.45,2.96
910,0,Masculino,1,0,0,70,0,0,DSL,0,1,1,0,1,0,Anual,1,Cartão de crédito,44.05,3011.65,1.47
911,1,Masculino,0,0,0,1,1,0,Fibra Opica,0,0,0,0,0,1,Mensal,0,Cheque eletrônico,79.9,79.9,2.66
913,0,Masculino,0,1,0,72,1,1,Fibra Opica,0,1,1,1,1,1,Bienal,1,Cartão de crédito,110.6,7962.2,3.69
914,0,Feminino,0,1,1,72,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Cheque fisico,20.7,1482.3,0.69
915,0,Feminino,0,0,0,35,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque fisico,21.1,741,0.7
916,0,Masculino,1,1,1,68,1,1,Fibra Opica,0,0,1,1,1,1,Anual,1,Cartão de crédito,107.15,7379.8,3.57
917,0,Masculino,0,1,1,71,1,1,Fibra Opica,0,1,0,1,0,0,Bienal,1,Cheque eletrônico,84.8,6152.4,2.83
918,0,Feminino,0,1,1,70,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,24.7,1685.9,0.82
919,0,Masculino,0,1,1,29,0,0,DSL,1,1,1,1,0,1,Anual,1,Cartão de crédito,55.35,1636.95,1.84
920,0,Masculino,0,0,0,66,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,19.35,1240.8,0.64
921,0,Masculino,1,0,0,20,1,0,Fibra Opica,0,0,0,0,1,1,Mensal,0,Cheque eletrônico,89.95,1648.45,3.0
922,0,Feminino,0,1,1,55,1,0,Fibra Opica,0,0,0,0,0,0,Bienal,1,Cartão de crédito,69.05,3842.6,2.3
923,0,Masculino,0,1,0,9,1,0,DSL,0,0,1,0,1,1,Mensal,1,Cheque fisico,70.05,564.4,2.34
924,1,Feminino,1,0,0,2,1,1,Fibra Opica,0,0,1,0,0,0,Mensal,1,Cheque eletrônico,78.55,149.55,2.62
925,0,Feminino,0,1,0,72,1,1,Fibra Opica,0,0,1,0,1,1,Bienal,1,Cheque eletrônico,97.85,6841.3,3.26
926,0,Feminino,0,0,1,49,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,20.45,1024.65,0.68
927,0,Masculino,0,0,0,24,1,0,Fibra Opica,0,1,1,0,0,1,Mensal,1,Cheque eletrônico,89.55,2187.15,2.98
928,0,Masculino,1,0,0,42,1,1,Fibra Opica,0,1,0,0,0,0,Mensal,1,Transferência bancária,79.35,3344.1,2.64
929,1,Masculino,0,1,0,21,1,1,Fibra Opica,0,0,1,1,1,1,Mensal,1,Cheque eletrônico,106.1,2249.95,3.54
930,0,Masculino,1,1,1,52,1,1,DSL,0,1,1,0,1,1,Anual,1,Cheque eletrônico,80.85,4079.55,2.7
